 Stephen Curry , Tony Allen , LaMarcus Aldridge 
 Anthony Davis , Draymond Green , Kobe Bryant 
 Marc Gasol , DeAndre Jordan , DeMarcus Cousins 
 James Harden , Kawhi Leonard , Stephen Curry 
 LeBron James , Chris Paul , Anthony Davis 
 LaMarcus Aldridge , Andrew Bogut , Tim Duncan 
 DeMarcus Cousins , Jimmy Butler , Kevin Durant 
 Pau Gasol , Anthony Davis , Marc Gasol 
 Chris Paul , Tim Duncan , Blake Griffin 
 Russell Westbrook , John Wall , James Harden 
 Tim Duncan ,, Dirk Nowitzki 
 Blake Griffin ,, Chris Paul 
 Kyrie Irving ,, Klay Thompson 
 DeAndre Jordan ,, Russell Westbrook 
 Klay Thompson ,, Carmelo Anthony 
,, Chris Bosh 
,, Jimmy Butler 
,, Pau Gasol 
,, Al Horford 
,, Kyrie Irving 
,, LeBron James 
,, Kyle Korver 
,, Kyle Lowry 
,, Paul Millsap 
,, Jeff Teague 
,, Dwyane Wade 
,, John Wall 
